file,name,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z
t053.tif,Cell type 1_2101,468.216,138.905,17.02157142857142857142857143,27.502,27.676,27.502,11.4007,4.09274,9.98046
t053.tif,Cell type 1_2110,480.488,173.907,23.79457142857142857142857143,25.8886,24.5928,25.8886,13.3608,9.60997,13.3912
t053.tif,Cell type 1_2111,560.387,225.421,21.97985714285714285714285714,27.5583,26.0015,26.0071,11.8562,9.76768,14.2472
t053.tif,Cell type 1_4000,240.817,327.917,23.48885714285714285714285714,20.2551,25.2416,20.2043,11.9067,8.40397,13.2548
t053.tif,Cell type 1_4001,300.671,398.432,20.82557142857142857142857143,24.6946,25.845,23.9119,12.1874,7.52924,12.6144
t053.tif,Cell type 1_4010,302.255,238.391,22.23528571428571428571428571,19.8882,26.3047,15.3584,10.8764,9.85331,12.6962
t053.tif,Cell type 1_4011,418.734,232.393,23.634,21.6381,26.3452,9.96145,11.3923,9.28906,11.7279
t053.tif,Cell type 1_3010,508.781,193.496,8.826614285714285714285714286,11.6925,24.4979,11.6925,8.2871,6.92668,9.42726
t053.tif,Cell type 1_3011,551.345,242.331,11.51224285714285714285714286,17.0985,22.084,11.0357,7.02162,6.17498,9.75761
t053.tif,Cell type 1_3000,402.095,231.568,10.28614285714285714285714286,12.8759,23.939,12.8759,3.77618,6.45467,7.22024
t053.tif,Cell type 1_3001,446.772,276.143,10.4088,13.5825,18.5033,11.6957,3.39353,6.00192,7.50156
t054.tif,Cell type 1_410,382.115,323.369,17.97057142857142857142857143,31.0599,27.9225,25.8054,11.9626,9.69304,10.1203
t054.tif,Cell type 1_411,475.257,303.408,19.46342857142857142857142857,29.4487,24.7987,29.4487,12.6586,7.98861,10.4581
t054.tif,Cell type 1_2000,219.985,284.694,9.432,28.0547,27.7282,28.0547,11.2988,3.72154,10.5033
t054.tif,Cell type 1_2001,318.93,260.024,9.507385714285714285714285714,29.6719,24.6674,26.58,8.06892,3.16315,8.22645
t054.tif,Cell type 1_2010,322.945,379.137,10.78251428571428571428571429,28.6666,25.1674,28.528,11.0469,6.5307,10.5348
t054.tif,Cell type 1_2011,408.171,380.707,9.572028571428571428571428571,27.9203,25.2225,27.9203,11.0978,3.41382,10.7912
t054.tif,Cell type 1_1000,129.253,251.745,17.24428571428571428571428571,28.1576,29.8081,27.9232,6.95953,7.31734,10.5471
t054.tif,Cell type 1_1001,172.865,203.811,11.5217,29.5343,24.807,29.5343,7.94099,6.14316,10.4152
t054.tif,Cell type 1_1100,195.535,196.239,21.80128571428571428571428571,30.9487,26.0259,27.5037,10.2563,10.0892,11.1099
t054.tif,Cell type 1_1101,281.332,147.927,20.71842857142857142857142857,28.2583,25.5091,27.0147,9.7264,7.90693,11.4094
t054.tif,Cell type 1_1010,168.471,335.659,17.86242857142857142857142857,30.913,28.9272,28.1826,9.72024,9.49292,7.30561
t054.tif,Cell type 1_1011,241.646,380.802,13.5722,29.4765,30.9413,28.9026,9.2536,10.1089,7.1329
t054.tif,Cell type 1_1110,253.837,151.04,11.64508571428571428571428571,26.7107,32.0255,26.7107,8.29025,7.66337,11.8503
t054.tif,Cell type 1_1111,373.969,150.36,11.57862857142857142857142857,32.7881,25.8674,23.2832,9.40258,9.38638,12.812
t054.tif,Cell type 1_310,533.332,362.968,21.46728571428571428571428571,23.6824,22.3931,23.1642,6.41431,5.54265,11.1532
t054.tif,Cell type 1_311,577.457,314.21,17.19171428571428571428571429,27.67,24.2214,26.9387,5.27802,6.72298,9.95521
t054.tif,Cell type 1_2100,368.652,119.363,20.23257142857142857142857143,29.9232,28.1683,27.1515,11.522,5.60116,11.3877
t054.tif,Cell type 1_2101,464.792,140.979,17.184,27.502,27.676,27.502,11.4206,4.14588,9.98926
t054.tif,Cell type 1_2110,476.62,172.899,24.02985714285714285714285714,25.8886,24.5928,25.8886,13.2571,9.5535,13.4757
t054.tif,Cell type 1_2111,549.823,217.776,21.10028571428571428571428571,27.5583,26.0015,26.0071,11.8549,9.74297,14.2435
t054.tif,Cell type 1_4000,234.766,324.921,23.69685714285714285714285714,20.2551,25.2416,20.2043,12.381,8.53922,13.6418
t054.tif,Cell type 1_4001,297.23,400.248,20.97742857142857142857142857,24.6946,25.845,23.9119,12.3666,7.88327,12.4815
t054.tif,Cell type 1_4010,299.974,239.433,22.86085714285714285714285714,19.8882,26.3047,15.3584,10.9544,10.087,12.7845
t054.tif,Cell type 1_4011,407.203,224.772,23.22542857142857142857142857,21.6381,26.3452,9.96145,11.2286,9.50235,11.7243
t054.tif,Cell type 1_3010,515.102,193.616,8.886885714285714285714285714,11.6925,24.4979,11.6925,8.73587,6.88721,9.33314
t054.tif,Cell type 1_3011,559.284,247.37,11.28554285714285714285714286,17.0985,22.084,11.0357,6.78831,6.26217,10.1114
t054.tif,Cell type 1_3000,410.091,231.55,9.748928571428571428571428571,12.8759,23.939,12.8759,3.62472,6.96091,7.23634
t054.tif,Cell type 1_3001,461.289,282.452,10.73454285714285714285714286,13.5825,18.5033,11.6957,3.25283,6.3485,7.68473
t055.tif,Cell type 1_410,381.597,319.46,18.37457142857142857142857143,31.0599,27.9225,25.8054,12.2373,9.62567,10.292
t055.tif,Cell type 1_411,476.298,297.943,19.22928571428571428571428571,29.4487,24.7987,29.4487,12.827,8.01979,10.315
t055.tif,Cell type 1_2000,220.868,284.257,9.432,28.0547,27.7282,28.0547,11.2503,3.74897,10.6239
t055.tif,Cell type 1_2001,323.177,265.556,9.524142857142857142857142857,29.6719,24.6674,26.58,7.88515,3.20474,8.29966
t055.tif,Cell type 1_2010,322.183,381.734,10.58502857142857142857142857,28.6666,25.1674,28.528,11.2099,6.52974,10.5472
t055.tif,Cell type 1_2011,411.351,376.956,9.673571428571428571428571429,27.9203,25.2225,27.9203,11.1682,3.44067,10.7979
t055.tif,Cell type 1_1000,130.813,246.696,16.85785714285714285714285714,28.1576,29.8081,27.9232,7.24458,7.47886,10.5296
t055.tif,Cell type 1_1001,176.391,209.022,11.67204285714285714285714286,29.5343,24.807,29.5343,7.96882,6.40902,10.7459
t055.tif,Cell type 1_1100,193.94,195.428,21.58414285714285714285714286,30.9487,26.0259,27.5037,10.3966,10.1605,11.0809
t055.tif,Cell type 1_1101,278.643,151.64,20.58142857142857142857142857,28.2583,25.5091,27.0147,9.89894,7.80423,11.6419
t055.tif,Cell type 1_1010,171.016,330.286,18.12285714285714285714285714,30.913,28.9272,28.1826,9.77093,9.46629,7.47767
t055.tif,Cell type 1_1011,238.732,383.429,13.96954285714285714285714286,29.4765,30.9413,28.9026,9.27093,10.2111,7.15785
t055.tif,Cell type 1_1110,259.838,151.58,11.71481428571428571428571429,26.7107,32.0255,26.7107,8.33899,7.67966,11.9006
t055.tif,Cell type 1_1111,367.762,157.999,11.64305714285714285714285714,32.7881,25.8674,23.2832,9.5529,9.43901,13.1669
t055.tif,Cell type 1_310,532.119,371.052,20.96928571428571428571428571,23.6824,22.3931,23.1642,6.63571,5.76479,11.2926
t055.tif,Cell type 1_311,575.339,318.125,17.191,27.67,24.2214,26.9387,5.29758,6.69525,10.0783
t055.tif,Cell type 1_2100,369.832,122.075,20.31728571428571428571428571,29.9232,28.1683,27.1515,11.4398,5.71251,11.6636
t055.tif,Cell type 1_2101,462.891,144.469,16.97985714285714285714285714,27.502,27.676,27.502,11.5428,4.3047,10.2651
t055.tif,Cell type 1_2110,479.044,173.709,24.13614285714285714285714286,25.8886,24.5928,25.8886,13.2079,9.38657,13.418
t055.tif,Cell type 1_2111,549.012,216.417,20.22128571428571428571428571,27.5583,26.0015,26.0071,11.8275,9.79259,14.3804
t055.tif,Cell type 1_4000,243.244,315.709,23.86485714285714285714285714,20.2551,25.2416,20.2043,12.6922,8.9237,13.8429
t055.tif,Cell type 1_4001,300.853,395.597,21.978,24.6946,25.845,23.9119,12.568,7.79812,12.5721
t055.tif,Cell type 1_4010,304.991,238.284,22.425,19.8882,26.3047,15.3584,10.7391,10.2194,13.117
t055.tif,Cell type 1_4011,405.554,224.328,23.42128571428571428571428571,21.6381,26.3452,9.96145,11.3556,9.64845,11.1992
t055.tif,Cell type 1_3010,518.838,192.535,8.172228571428571428571428571,11.6925,24.4979,11.6925,9.02488,7.1452,9.25238
t055.tif,Cell type 1_3011,574.242,257.803,11.8868,17.0985,22.084,11.0357,6.53976,6.23245,10.2999
t055.tif,Cell type 1_3000,415.225,228.988,9.4112,12.8759,23.939,12.8759,3.50253,7.2649,7.25633
t055.tif,Cell type 1_3001,468.567,295.444,10.14074285714285714285714286,13.5825,18.5033,11.6957,3.30508,6.75997,7.49879
t056.tif,Cell type 1_410,380,319.315,18.06114285714285714285714286,31.0599,27.9225,25.8054,12.6066,9.67201,10.5142
t056.tif,Cell type 1_411,484.336,294.631,18.73542857142857142857142857,29.4487,24.7987,29.4487,12.9694,8.07496,10.3775
t056.tif,Cell type 1_2000,219.928,281.058,10.09174285714285714285714286,28.0547,27.7282,28.0547,11.2022,3.94845,10.7404
t056.tif,Cell type 1_2001,323.413,259.226,9.507085714285714285714285714,29.6719,24.6674,26.58,7.9538,3.22442,8.45016
t056.tif,Cell type 1_2010,323.842,380.393,10.53938571428571428571428571,28.6666,25.1674,28.528,11.2099,6.52974,10.5472
t056.tif,Cell type 1_2011,408.589,368.552,9.8082,27.9203,25.2225,27.9203,11.0453,3.50827,10.8185
t056.tif,Cell type 1_1000,130.832,245.819,16.60771428571428571428571429,28.1576,29.8081,27.9232,7.36397,7.47709,10.6359
t056.tif,Cell type 1_1001,180.892,203.671,11.61827142857142857142857143,29.5343,24.807,29.5343,7.92922,6.59552,10.8999
t056.tif,Cell type 1_1100,191.104,196.225,20.90414285714285714285714286,30.9487,26.0259,27.5037,10.283,10.1482,11.3198
t056.tif,Cell type 1_1101,282.911,146.568,20.15485714285714285714285714,28.2583,25.5091,27.0147,9.98715,7.94723,11.8724
t056.tif,Cell type 1_1010,168.291,331.811,18.24242857142857142857142857,30.913,28.9272,28.1826,9.81647,9.44426,7.47865
t056.tif,Cell type 1_1011,238.844,382.348,13.9383,29.4765,30.9413,28.9026,9.32875,10.2957,7.15981
t056.tif,Cell type 1_1110,266.415,154.18,11.23177142857142857142857143,26.7107,32.0255,26.7107,8.22893,7.69672,11.9994
t056.tif,Cell type 1_1111,369.579,159.644,11.7739,32.7881,25.8674,23.2832,9.53075,9.31638,13.3046
t056.tif,Cell type 1_310,523.017,374.694,21.69128571428571428571428571,23.6824,22.3931,23.1642,6.86088,6.00754,11.3087
t056.tif,Cell type 1_311,578.532,322.575,18.5,27.67,24.2214,26.9387,5.13984,6.71075,10.2846
t056.tif,Cell type 1_2100,369.493,115.755,19.80514285714285714285714286,29.9232,28.1683,27.1515,11.4594,5.70552,11.6197
t056.tif,Cell type 1_2101,463.777,140.859,16.59742857142857142857142857,27.502,27.676,27.502,11.5206,4.33745,10.3835
t056.tif,Cell type 1_2110,476.256,174.051,24.01457142857142857142857143,25.8886,24.5928,25.8886,13.3259,9.48233,13.4194
t056.tif,Cell type 1_2111,549.171,209.102,19.90857142857142857142857143,27.5583,26.0015,26.0071,11.9403,9.8622,14.4681
t056.tif,Cell type 1_4000,246.624,312.515,23.74185714285714285714285714,20.2551,25.2416,20.2043,12.6535,8.99798,13.8703
t056.tif,Cell type 1_4001,303.412,393.962,22.09314285714285714285714286,24.6946,25.845,23.9119,12.7512,7.64647,12.6101
t056.tif,Cell type 1_4010,305.712,238.441,23.05914285714285714285714286,19.8882,26.3047,15.3584,10.7975,10.1641,13.3399
t056.tif,Cell type 1_4011,408.529,229.61,24.201,21.6381,26.3452,9.96145,11.5079,9.59381,11.6982
t056.tif,Cell type 1_3010,521.503,185.122,8.142014285714285714285714286,11.6925,24.4979,11.6925,8.97599,7.69852,9.58426
t056.tif,Cell type 1_3011,584.672,262.968,12.19338571428571428571428571,17.0985,22.084,11.0357,6.35317,6.39218,10.4472
t056.tif,Cell type 1_3000,418.332,230.922,8.839842857142857142857142857,12.8759,23.939,12.8759,3.50087,7.57411,7.13894
t056.tif,Cell type 1_3001,492.296,302.333,9.601585714285714285714285714,13.5825,18.5033,11.6957,3.19467,6.99951,7.47142
t057.tif,Cell type 1_410,372.104,313.23,18.85857142857142857142857143,31.0599,27.9225,25.8054,12.4018,9.52023,10.7406
t057.tif,Cell type 1_411,482.887,294.841,18.73542857142857142857142857,29.4487,24.7987,29.4487,12.9157,8.048,10.5679
t057.tif,Cell type 1_2000,225.033,282.494,9.866957142857142857142857143,28.0547,27.7282,28.0547,11.3992,3.98501,10.874
t057.tif,Cell type 1_2001,327.778,257.296,10.21014285714285714285714286,29.6719,24.6674,26.58,8.26438,3.38632,8.6404
t057.tif,Cell type 1_2010,324.408,379.681,10.80754285714285714285714286,28.6666,25.1674,28.528,11.1936,6.55688,10.6606
t057.tif,Cell type 1_2011,407.495,361.365,10.0111,27.9203,25.2225,27.9203,10.974,3.52418,10.7256
t057.tif,Cell type 1_1000,130.86,237.449,15.64328571428571428571428571,28.1576,29.8081,27.9232,7.28581,7.53119,11.2226
t057.tif,Cell type 1_1001,183.267,200.646,11.76358571428571428571428571,29.5343,24.807,29.5343,8.01332,6.53896,11.0668
t057.tif,Cell type 1_1100,189.16,200.198,21.43385714285714285714285714,30.9487,26.0259,27.5037,10.19,10.4033,11.679
t057.tif,Cell type 1_1101,279.144,144.901,20.43028571428571428571428571,28.2583,25.5091,27.0147,9.87301,8.02883,11.9675
t057.tif,Cell type 1_1010,168.161,327.874,18.11214285714285714285714286,30.913,28.9272,28.1826,9.88579,9.82871,7.47699
t057.tif,Cell type 1_1011,234.908,382.475,13.87574285714285714285714286,29.4765,30.9413,28.9026,9.28844,10.2342,7.0739
t057.tif,Cell type 1_1110,273.112,153.441,11.25217142857142857142857143,26.7107,32.0255,26.7107,8.05824,7.86048,12.2968
t057.tif,Cell type 1_1111,377.933,159.801,11.47635714285714285714285714,32.7881,25.8674,23.2832,9.48793,9.34119,13.295
t057.tif,Cell type 1_310,510.494,382.271,21.80157142857142857142857143,23.6824,22.3931,23.1642,6.96539,5.9407,11.2886
t057.tif,Cell type 1_311,571.246,333.366,18.40428571428571428571428571,27.67,24.2214,26.9387,5.26021,6.71169,10.4619
t057.tif,Cell type 1_2100,373.879,116.289,19.56128571428571428571428571,29.9232,28.1683,27.1515,11.3754,5.81348,11.5919
t057.tif,Cell type 1_2101,473.468,138.38,15.41314285714285714285714286,27.502,27.676,27.502,11.8285,4.32212,10.3048
t057.tif,Cell type 1_2110,477.233,173.495,23.12957142857142857142857143,25.8886,24.5928,25.8886,13.6037,9.90834,13.6134
t057.tif,Cell type 1_2111,552.831,212.42,20.09314285714285714285714286,27.5583,26.0015,26.0071,12.148,9.7779,14.4296
t057.tif,Cell type 1_4000,247.568,306.07,23.00985714285714285714285714,20.2551,25.2416,20.2043,12.5106,9.08372,13.5727
t057.tif,Cell type 1_4001,304.055,398.477,22.09085714285714285714285714,24.6946,25.845,23.9119,12.9622,7.6132,12.6796
t057.tif,Cell type 1_4010,308.451,236.437,23.06271428571428571428571429,19.8882,26.3047,15.3584,10.505,10.2722,13.5723
t057.tif,Cell type 1_4011,408.886,231.219,24.18357142857142857142857143,21.6381,26.3452,9.96145,11.3369,9.85984,12.4536
t057.tif,Cell type 1_3010,529.377,193.776,8.187514285714285714285714286,11.6925,24.4979,11.6925,9.19477,7.80095,9.68062
t057.tif,Cell type 1_3011,589.162,280.848,12.2587,17.0985,22.084,11.0357,6.44404,6.52066,10.4668
t057.tif,Cell type 1_3000,429.648,235.344,8.886671428571428571428571429,12.8759,23.939,12.8759,3.25674,7.85032,7.53891
t057.tif,Cell type 1_3001,498.628,315.691,9.566757142857142857142857143,13.5825,18.5033,11.6957,2.97252,6.59297,7.58538
t058.tif,Cell type 1_410,373.459,303.655,18.17814285714285714285714286,31.0599,27.9225,25.8054,12.5921,9.51241,11.2084
t058.tif,Cell type 1_411,480.711,299.275,19.29728571428571428571428571,29.4487,24.7987,29.4487,12.7991,8.08677,10.6983
t058.tif,Cell type 1_2001,337.154,262.138,9.678171428571428571428571429,29.6719,24.6674,26.58,8.77908,3.29809,8.97176
t058.tif,Cell type 1_2010,321.183,367.544,10.84105714285714285714285714,28.6666,25.1674,28.528,12.2458,6.94774,11.2707
t058.tif,Cell type 1_2011,406.37,352.991,10.0208,27.9203,25.2225,27.9203,11.066,3.29383,10.885
t058.tif,Cell type 1_1000,121.744,241.002,16.22285714285714285714285714,28.1576,29.8081,27.9232,7.43331,7.67495,11.2696
t058.tif,Cell type 1_1001,178.7,191.761,12.17144285714285714285714286,29.5343,24.807,29.5343,8.92666,7.21074,11.763
t058.tif,Cell type 1_1101,288.672,132.721,21.35214285714285714285714286,28.2583,25.5091,27.0147,10.0334,8.03283,12.0575
t058.tif,Cell type 1_1010,163.58,327.067,17.80057142857142857142857143,30.913,28.9272,28.1826,10.1771,10.4236,7.85872
t058.tif,Cell type 1_1011,236.846,385.035,13.95964285714285714285714286,29.4765,30.9413,28.9026,9.30099,10.3797,7.09047
t058.tif,Cell type 1_1110,274.423,159.564,11.48338571428571428571428571,26.7107,32.0255,26.7107,8.23218,8.1749,12.2253
t058.tif,Cell type 1_1111,383.685,158.583,11.37465714285714285714285714,32.7881,25.8674,23.2832,9.5358,9.60809,13.3264
t058.tif,Cell type 1_310,499.504,388.222,22.36171428571428571428571429,23.6824,22.3931,23.1642,7.39203,5.955,11.4696
t058.tif,Cell type 1_311,568.809,344.344,18.32757142857142857142857143,27.67,24.2214,26.9387,5.35169,6.96773,10.7363
t058.tif,Cell type 1_2100,371.519,117.87,19.12985714285714285714285714,29.9232,28.1683,27.1515,11.2457,5.74234,11.4418
t058.tif,Cell type 1_2101,479.907,146.39,15.04,27.502,27.676,27.502,11.7926,4.31851,10.1893
t058.tif,Cell type 1_2110,477.166,172.751,23.89771428571428571428571429,25.8886,24.5928,25.8886,13.5644,10.0451,13.9058
t058.tif,Cell type 1_2111,551.563,211.632,20.04257142857142857142857143,27.5583,26.0015,26.0071,12.4542,9.90491,14.9446
t058.tif,Cell type 1_4000,243.147,309.264,23.28957142857142857142857143,20.2551,25.2416,20.2043,12.6506,9.24906,13.564
t058.tif,Cell type 1_4001,304.717,389.907,23.497,24.6946,25.845,23.9119,13.1031,7.59509,12.7744
t058.tif,Cell type 1_4010,313.293,237.678,22.42614285714285714285714286,19.8882,26.3047,15.3584,11.023,10.6793,13.9799
t058.tif,Cell type 1_4011,406.809,229.312,24.722,21.6381,26.3452,9.96145,11.2262,9.90582,12.4206
t058.tif,Cell type 1_3010,529.216,194.273,7.862728571428571428571428571,11.6925,24.4979,11.6925,9.07105,7.94185,9.95827
t058.tif,Cell type 1_3011,593.711,281.043,12.88621428571428571428571429,17.0985,22.084,11.0357,6.49298,6.39263,10.4649
t058.tif,Cell type 1_3000,433.32,234.025,9.501914285714285714285714286,12.8759,23.939,12.8759,3.4747,8.15104,7.94733
t058.tif,Cell type 1_3001,506.536,323.822,9.487242857142857142857142857,13.5825,18.5033,11.6957,3.2019,6.67546,8.0585
t058.tif,Cell type 1_20000,201.946,269.841,7.841871428571428571428571429,21.3307,21.9188,21.3307,11.9827,4.23117,11.2238
t058.tif,Cell type 1_20001,250.601,306.168,9.6664,22.2794,22.0079,21.7376,11.8042,4.04163,11.4532
t058.tif,Cell type 1_11000,180.053,182.675,21.47542857142857142857142857,24.7552,20.9361,21.9983,10.8931,10.8944,12.2751
t058.tif,Cell type 1_11001,219.881,207.766,23.24042857142857142857142857,25.1847,20.1345,21.0309,10.8772,10.7226,12.1917
t059.tif,Cell type 1_410,371.125,317.103,17.13128571428571428571428571,31.0599,27.9225,25.8054,12.6215,9.2796,11.2419
t059.tif,Cell type 1_411,479.948,282.933,18.794,29.4487,24.7987,29.4487,12.7753,8.14664,11.2181
t059.tif,Cell type 1_2011,417.838,345.642,9.805642857142857142857142857,27.9203,25.2225,27.9203,11.529,2.8685,11.3277
t059.tif,Cell type 1_1011,237.909,397.124,13.60281428571428571428571429,29.4765,30.9413,28.9026,9.49527,10.4954,7.16974
t059.tif,Cell type 1_1110,267.241,162.413,12.09051428571428571428571429,26.7107,32.0255,26.7107,8.30192,8.26773,11.9375
t059.tif,Cell type 1_1111,374.148,162.034,11.05061428571428571428571429,32.7881,25.8674,23.2832,9.45881,9.53496,13.6394
t059.tif,Cell type 1_310,497.863,380.296,22.20157142857142857142857143,23.6824,22.3931,23.1642,7.46297,5.89544,11.6154
t059.tif,Cell type 1_311,568.627,334.437,18.75185714285714285714285714,27.67,24.2214,26.9387,5.33407,7.02071,11.0385
t059.tif,Cell type 1_2111,555.69,210.315,19.81914285714285714285714286,27.5583,26.0015,26.0071,12.6596,10.4383,15.0018
t059.tif,Cell type 1_4000,243.655,314.432,23.08585714285714285714285714,20.2551,25.2416,20.2043,12.5845,9.26802,13.3389
t059.tif,Cell type 1_4001,312.812,386.858,22.89242857142857142857142857,24.6946,25.845,23.9119,13.2191,7.85469,12.9771
t059.tif,Cell type 1_4010,314.613,248.567,22.12828571428571428571428571,19.8882,26.3047,15.3584,10.8329,10.9742,14.1539
t059.tif,Cell type 1_4011,411.288,230.177,24.39685714285714285714285714,21.6381,26.3452,9.96145,12.0139,10.2257,12.9109
t059.tif,Cell type 1_3010,524.267,198.333,8.761128571428571428571428571,11.6925,24.4979,11.6925,9.13825,7.96816,9.97836
t059.tif,Cell type 1_3011,586.307,280.299,12.62892857142857142857142857,17.0985,22.084,11.0357,6.52185,6.34071,10.5097
t059.tif,Cell type 1_3000,434.364,232.276,9.666757142857142857142857143,12.8759,23.939,12.8759,3.22874,7.84351,8.27212
t059.tif,Cell type 1_3001,511.058,325.285,9.106014285714285714285714286,13.5825,18.5033,11.6957,3.17061,6.66564,8.03172
t059.tif,Cell type 1_20000,209.753,273.926,7.706457142857142857142857143,21.3307,21.9188,21.3307,12.0137,4.2522,10.9709
t059.tif,Cell type 1_20001,257.167,312.682,9.708728571428571428571428571,22.2794,22.0079,21.7376,11.7815,4.18595,11.6356
t059.tif,Cell type 1_11000,174.402,182.283,21.68885714285714285714285714,24.7552,20.9361,21.9983,10.988,11.1178,12.6232
t059.tif,Cell type 1_11001,218.152,218.252,22.62728571428571428571428571,25.1847,20.1345,21.0309,11.3301,10.9847,12.498
t059.tif,Cell type 1_20100,318.018,378.557,9.585785714285714285714285714,21.857,19.8416,21.7602,12.1988,7.07719,11.5314
t059.tif,Cell type 1_20101,355.736,407.558,12.5112,22.6046,20.1191,22.2355,12.4457,7.01462,11.5139
t059.tif,Cell type 1_10010,171.972,179.002,11.97735714285714285714285714,22.9594,18.423,22.9074,9.23763,7.39628,11.7776
t059.tif,Cell type 1_10011,201.059,214.503,12.99908571428571428571428571,23.4457,19.7419,22.7822,9.05874,7.37936,11.6677
t059.tif,Cell type 1_21010,453.593,113.925,14.0299,21.8231,21.7994,21.0037,12.1293,4.42452,10.498
t059.tif,Cell type 1_21011,512.114,151.496,15.16357142857142857142857143,21.4914,21.9665,21.0028,12.0105,4.3328,10.3741
t059.tif,Cell type 1_10100,148.923,329.78,14.67928571428571428571428571,23.6324,22.5734,21.7059,10.193,10.6948,8.01117
t059.tif,Cell type 1_10101,174.494,346.725,19.64542857142857142857142857,24.7252,22.7864,21.5836,10.2768,10.6128,8.10271
t059.tif,Cell type 1_21100,467.588,145.557,22.583,20.4101,19.5193,20.4044,13.5636,10.0304,13.9207
t059.tif,Cell type 1_21101,497.253,181.058,24.97157142857142857142857143,20.6997,19.9254,20.6997,13.5496,10.1452,13.757
t059.tif,Cell type 1_11010,252.989,129.654,21.51171428571428571428571429,22.1649,20.2466,21.2184,10.3482,8.3839,12.2724
t059.tif,Cell type 1_11011,308.93,153.95,22.64685714285714285714285714,22.1432,20.2466,20.7974,10.3646,8.41044,12.2312
t059.tif,Cell type 1_10000,120.541,227.332,13.80665714285714285714285714,22.1922,23.4886,21.4478,7.44933,7.82745,11.3812
t059.tif,Cell type 1_10001,140.319,258.182,17.79614285714285714285714286,22.156,23.6587,20.9989,7.37989,7.89888,11.3036
t059.tif,Cell type 1_21000,343.421,102.366,17.82271428571428571428571429,23.2409,22.2587,20.1455,11.7647,6.26804,11.686
t059.tif,Cell type 1_21001,381.239,133.168,21.302,23.2187,22.2412,21.5852,11.705,6.47318,11.4202
t059.tif,Cell type 1_20010,312.274,242.399,8.188528571428571428571428571,22.4784,19.4381,20.0329,9.41553,3.41733,9.15533
t059.tif,Cell type 1_20011,352.542,279.907,10.0555,23.2661,18.9093,20.9629,9.2183,3.48132,9.17824
t060.tif,Cell type 1_410,363.305,315.097,16.848,31.0599,27.9225,25.8054,12.7132,9.37723,11.1291
t060.tif,Cell type 1_411,472.558,275.326,18.53971428571428571428571429,29.4487,24.7987,29.4487,13.22,8.16298,11.1499
t060.tif,Cell type 1_1111,369.325,161.421,9.808942857142857142857142857,32.7881,25.8674,23.2832,8.85304,9.73968,13.9479
t060.tif,Cell type 1_310,494.082,372.159,23.038,23.6824,22.3931,23.1642,7.31858,5.94432,11.3582
t060.tif,Cell type 1_311,562.57,334.937,18.73071428571428571428571429,27.67,24.2214,26.9387,5.46859,6.82904,11.0138
t060.tif,Cell type 1_4000,245.254,314.135,22.53828571428571428571428571,20.2551,25.2416,20.2043,12.6759,9.15872,13.7668
t060.tif,Cell type 1_4001,327.701,385.638,23.34057142857142857142857143,24.6946,25.845,23.9119,13.1773,8.10641,13.0701
