frame,dist,pred_name,gt_label,pred_x,pred_y,pred_z,gt_x,gt_y,gt_z
6,2.8103,Cell type 1_20,384,427.38,166.914,109.436,427.0,168.0,112.0
6,7.7221,Cell type 1_3,640,534.39,299.351,118.757,534.0,302.0,126.0
6,8.2328,Cell type 1_21,257,387.718,229.001,68.9292,389.0,230.0,77.0
6,11.0543,Cell type 1_1,2,178.85,272.692,101.01,180.0,273.0,112.0
7,6.235,Cell type 1_1,2,167.636,275.915,114.384,164.0,278.0,119.0
7,8.3094,Cell type 1_21,257,383.234,248.42,61.7142,383.0,249.0,70.0
7,9.7452,Cell type 1_3,640,533.885,301.675,116.346,534.0,303.0,126.0
7,10.8986,Cell type 1_20,384,435.587,156.604,115.071,438.0,160.0,105.0
7,17.1078,Cell type 1_4,609,382.186,336.437,155.843,399.0,339.0,154.0
8,2.6137,Cell type 1_21,257,382.469,254.375,71.6115,384.0,253.0,70.0
8,6.9935,Cell type 1_3,640,537.019,285.894,121.182,543.0,283.0,119.0
8,7.3763,Cell type 1_4,512,353.909,335.162,146.672,354.0,336.0,154.0
8,11.3387,Cell type 1_1,2,155.707,303.026,100.707,156.0,304.0,112.0
8,13.1857,Cell type 1_20,384,429.068,144.403,126.828,429.0,145.0,140.0
9,3.9924,Cell type 1_1,2,160.178,309.82,94.2745,159.0,309.0,98.0
9,5.1129,Cell type 1_4,512,346.372,344.227,148.985,347.0,345.0,154.0
9,5.6749,Cell type 1_21,257,376.628,272.197,64.632,377.0,274.0,70.0
9,6.67,Cell type 1_20,384,424.686,148.024,147.534,426.0,149.0,154.0
9,14.875,Cell type 1_3,640,529.072,274.083,118.995,534.0,275.0,133.0
10,5.3785,Cell type 1_3,640,530.695,290.049,115.216,533.0,287.0,119.0
10,7.4719,Cell type 1_20,384,414.619,148.182,153.54,415.0,148.0,161.0
10,8.9542,Cell type 1_4,512,326.633,345.117,159.112,326.0,346.0,168.0
10,11.9955,Cell type 1_1,2,162.247,303.002,79.049,162.0,302.0,91.0
10,12.7507,Cell type 1_21,257,366.592,290.693,64.3303,366.0,292.0,77.0
11,0.9218,Cell type 1_1,2,169.769,311.2,91.4673,169.0,311.0,91.0
11,3.1787,Cell type 1_30,702,547.393,310.266,116.406,548.0,312.0,119.0
11,4.7384,Cell type 1_31,641,526.291,255.399,100.597,527.0,257.0,105.0
11,4.8216,Cell type 1_20,384,413.99,160.574,157.755,413.0,164.0,161.0
11,8.9566,Cell type 1_4,512,308.128,345.875,166.285,310.0,345.0,175.0
11,10.6671,Cell type 1_21,257,358.067,308.076,66.3732,358.0,309.0,77.0
12,3.0409,Cell type 1_20,384,426.169,163.422,162.027,429.0,163.0,161.0
12,3.2403,Cell type 1_31,641,518.692,241.03,95.5221,518.0,243.0,98.0
12,3.5009,Cell type 1_30,702,546.177,310.89,123.212,546.0,313.0,126.0
12,6.3303,Cell type 1_21,257,356.759,323.753,63.6791,357.0,324.0,70.0
12,7.7942,Cell type 1_1,2,164.262,323.558,99.4339,159.0,325.0,105.0
12,16.1322,Cell type 1_4,512,310.283,325.814,158.92,309.0,326.0,175.0
13,4.0997,Cell type 1_20,384,438.594,155.809,143.833,440.0,158.0,147.0
13,5.4731,Cell type 1_31,641,515.845,239.336,85.6915,517.0,240.0,91.0
13,6.3039,Cell type 1_4,512,305.034,314.091,155.506,305.0,311.0,161.0
13,6.9725,Cell type 1_1,2,168.096,311.012,108.237,162.0,312.0,105.0
13,7.456,Cell type 1_30,702,551.991,311.172,132.546,552.0,311.0,140.0
13,9.589,Cell type 1_21,257,360.868,343.215,67.4441,361.0,344.0,77.0
14,2.5434,Cell type 1_30,702,556.464,321.798,144.93,555.0,322.0,147.0
14,3.8744,Cell type 1_4,512,307.124,304.944,158.746,306.0,302.0,161.0
14,4.3067,Cell type 1_1,2,163.826,308.481,114.873,161.0,310.0,112.0
14,8.6791,Cell type 1_20,384,444.03,157.88,148.225,448.0,163.0,154.0
14,9.9642,Cell type 1_31,641,515.347,245.68,81.1325,514.0,246.0,91.0
14,10.1216,Cell type 1_21,257,363.406,352.617,74.1713,363.0,355.0,84.0
15,4.824,Cell type 1_30,702,578.632,317.773,142.821,577.0,316.0,147.0
15,5.8412,Cell type 1_4,512,307.951,297.294,156.068,311.0,298.0,161.0
15,6.3587,Cell type 1_31,641,504.956,249.066,71.4176,508.0,249.0,77.0
15,8.8049,Cell type 1_20,384,454.418,161.255,159.026,459.0,154.0,161.0
15,10.537,Cell type 1_21,257,352.388,357.56,73.49,353.0,358.0,84.0
15,10.9213,Cell type 1_1,2,157.423,305.986,108.094,158.0,306.0,119.0
16,3.1251,Cell type 1_31,641,498.719,252.421,67.6268,500.0,254.0,70.0
16,3.7734,Cell type 1_21,257,327.461,357.822,73.445,327.0,359.0,77.0
16,4.5098,Cell type 1_30,702,576.254,315.268,135.613,577.0,316.0,140.0
16,6.195,Cell type 1_1,2,152.371,288.344,113.287,150.0,288.0,119.0
16,6.2004,Cell type 1_4,512,316.999,303.256,156.603,316.0,299.0,161.0
16,8.0799,Cell type 1_20,384,456.274,155.308,156.718,463.0,154.0,161.0
17,2.3987,Cell type 1_20,384,452.173,171.612,146.854,452.0,174.0,147.0
17,3.2824,Cell type 1_21,257,318.499,357.924,81.2865,320.0,359.0,84.0
17,3.6505,Cell type 1_1,2,160.53,274.102,116.25,162.0,276.0,119.0
17,5.0027,Cell type 1_31,641,491.604,256.949,65.0133,492.0,257.0,70.0
17,7.8539,Cell type 1_30,702,570.067,323.662,132.209,571.0,324.0,140.0
17,9.4066,Cell type 1_4,512,321.236,297.907,159.057,321.0,295.0,168.0
18,2.66,Cell type 1_30,702,561.971,333.298,133.249,564.0,335.0,133.0
18,5.5847,Cell type 1_31,641,489.976,260.763,64.5151,491.0,261.0,70.0
18,9.4969,Cell type 1_20,385,446.29,163.032,138.093,445.0,160.0,147.0
18,9.8923,Cell type 1_1,3,164.242,255.267,113.315,161.0,251.0,105.0
18,11.0802,Cell type 1_4,512,321.611,292.795,160.135,322.0,285.0,168.0
18,13.9749,Cell type 1_21,257,302.348,365.309,96.2064,296.0,354.0,91.0
19,2.2794,Cell type 1_1,3,149.555,244.964,95.7648,150.0,245.0,98.0
19,2.3534,Cell type 1_30,702,566.647,326.129,126.455,568.0,328.0,126.0
19,4.5108,Cell type 1_210,321,316.631,365.847,93.5069,317.0,366.0,98.0
19,4.8438,Cell type 1_211,258,278.99,321.882,65.2641,280.0,322.0,70.0
19,5.705,Cell type 1_31,641,499.749,237.424,64.45,501.0,237.0,70.0
19,6.4974,Cell type 1_20,385,438.123,159.616,147.533,438.0,159.0,154.0
19,8.0812,Cell type 1_4,512,327.823,295.372,157.26,334.0,299.0,161.0
20,2.5367,Cell type 1_4,512,338.539,309.265,154.555,341.0,309.0,154.0
20,3.2412,Cell type 1_30,702,574.234,318.08,115.988,575.0,319.0,119.0
20,6.2237,Cell type 1_20,385,438.016,158.361,154.996,438.0,160.0,161.0
20,8.5889,Cell type 1_31,641,507.964,214.305,68.5109,508.0,213.0,77.0
20,10.9367,Cell type 1_210,321,323.867,354.983,80.1115,324.0,356.0,91.0
20,11.0821,Cell type 1_211,258,276.067,298.095,58.9577,277.0,298.0,70.0
20,13.1899,Cell type 1_1,3,142.696,253.664,105.879,144.0,254.0,119.0
21,1.2106,Cell type 1_31,641,500.357,201.705,76.2549,501.0,201.0,77.0
21,4.0715,Cell type 1_4,512,337.877,312.919,144.218,340.0,315.0,147.0
21,5.8622,Cell type 1_30,702,576.501,298.195,113.336,578.0,298.0,119.0
21,7.1603,Cell type 1_210,321,334.549,358.184,76.8631,334.0,358.0,84.0
21,7.5557,Cell type 1_1,3,149.74,242.314,112.488,149.0,243.0,105.0
21,9.1948,Cell type 1_20,385,427.808,154.061,151.883,429.0,154.0,161.0
21,10.3803,Cell type 1_211,258,268.337,303.939,59.6411,269.0,304.0,70.0
22,2.8328,Cell type 1_211,258,259.182,301.326,65.278,259.0,303.0,63.0
22,5.3891,Cell type 1_31,641,502.231,197.475,71.6415,502.0,198.0,77.0
22,6.8999,Cell type 1_30,702,577.754,284.784,119.217,579.0,285.0,126.0
22,7.2237,Cell type 1_20,385,410.067,144.45,153.858,411.0,145.0,161.0
22,7.9589,Cell type 1_4,512,333.978,312.821,140.286,331.0,314.0,133.0
22,8.2044,Cell type 1_1,3,144.236,231.059,113.056,143.0,232.0,105.0
22,9.7038,Cell type 1_210,321,352.17,358.793,74.3643,353.0,358.0,84.0
23,2.5528,Cell type 1_1,3,134.759,235.468,114.392,134.0,235.0,112.0
23,3.1742,Cell type 1_4,512,334.26,328.023,137.072,335.0,329.0,140.0
23,5.4571,Cell type 1_30,702,577.214,270.242,120.894,578.0,272.0,126.0
23,6.3164,Cell type 1_20,385,394.34,134.13,154.753,394.0,135.0,161.0
23,6.8617,Cell type 1_31,641,494.327,205.014,83.7529,495.0,204.0,77.0
23,7.5091,Cell type 1_210,321,369.559,356.508,77.3462,370.0,358.0,70.0
23,10.6993,Cell type 1_211,258,247.436,284.236,59.3182,248.0,284.0,70.0
24,3.5858,Cell type 1_31,641,486.997,206.383,80.4677,487.0,207.0,84.0
24,3.6415,Cell type 1_20,385,385.362,130.739,157.867,384.0,132.0,161.0
24,3.9986,Cell type 1_4,513,308.197,331.235,143.898,310.0,333.0,147.0
24,5.8545,Cell type 1_30,702,576.405,266.268,113.222,577.0,267.0,119.0
24,7.736,Cell type 1_1,3,127.811,235.702,111.376,128.0,237.0,119.0
24,8.0538,Cell type 1_211,258,244.936,257.729,61.951,245.0,258.0,70.0
24,11.1228,Cell type 1_210,321,374.292,355.37,65.9059,375.0,355.0,77.0
25,1.7482,Cell type 1_1,3,132.537,227.006,119.833,131.0,227.0,119.0
25,2.8294,Cell type 1_30,702,574.215,262.269,121.07,576.0,263.0,119.0
25,3.7809,Cell type 1_20,385,382.539,130.583,157.281,382.0,131.0,161.0
25,3.8301,Cell type 1_4,513,298.467,335.376,136.546,300.0,336.0,140.0
25,6.1736,Cell type 1_210,321,377.499,351.858,63.8484,378.0,352.0,70.0
25,7.2775,Cell type 1_31,641,478.735,214.32,91.1519,479.0,213.0,84.0
25,7.904,Cell type 1_211,258,250.309,247.567,62.1382,251.0,248.0,70.0
26,1.7514,Cell type 1_4,513,299.72,344.071,145.405,299.0,344.0,147.0
26,4.9386,Cell type 1_31,641,473.459,224.826,91.943,473.0,220.0,91.0
26,5.2394,Cell type 1_20,385,384.367,126.283,156.327,386.0,128.0,161.0
26,6.0331,Cell type 1_211,258,256.079,251.539,63.9851,256.0,252.0,70.0
26,6.2027,Cell type 1_30,702,575.653,256.991,113.03,577.0,258.0,119.0
26,7.9091,Cell type 1_210,321,390.875,348.558,62.7559,394.0,348.0,70.0
26,8.1131,Cell type 1_1,3,130.959,234.984,110.954,132.0,235.0,119.0
27,2.1339,Cell type 1_210,321,395.596,348.421,72.0053,395.0,348.0,70.0
27,2.5264,Cell type 1_20,385,381.352,124.16,152.305,381.0,126.0,154.0
27,3.8292,Cell type 1_4,513,284.854,350.964,150.297,285.0,350.0,154.0
27,7.8547,Cell type 1_31,641,463.253,217.449,83.3363,464.0,219.0,91.0
27,8.6705,Cell type 1_211,258,257.97,253.833,61.3925,259.0,254.0,70.0
27,11.1913,Cell type 1_1,3,133.823,235.965,107.919,135.0,237.0,119.0
27,12.3082,Cell type 1_30,702,574.638,257.507,113.707,575.0,258.0,126.0
28,4.6571,Cell type 1_210,321,397.281,357.602,65.416,398.0,358.0,70.0
28,5.8576,Cell type 1_20,385,378.442,131.782,148.735,381.0,132.0,154.0
28,6.0229,Cell type 1_1,3,131.57,238.454,106.167,133.0,238.0,112.0
28,8.4354,Cell type 1_211,258,264.089,253.048,61.619,264.0,254.0,70.0
28,9.8031,Cell type 1_30,702,570.056,255.395,109.205,570.0,255.0,119.0
28,10.4209,Cell type 1_4,513,272.121,355.59,150.874,274.0,354.0,161.0
28,14.0385,Cell type 1_31,641,473.998,216.64,78.7083,461.0,217.0,84.0
29,2.7303,Cell type 1_310,671,485.303,200.763,82.2552,487.0,202.0,84.0
29,4.039,Cell type 1_30,702,563.714,265.468,113.78,567.0,267.0,112.0
29,5.2585,Cell type 1_311,642,431.773,228.925,72.712,434.0,231.0,77.0
29,5.5083,Cell type 1_211,258,254.769,250.375,64.5321,255.0,251.0,70.0
29,7.5689,Cell type 1_1,3,132.943,234.02,104.495,133.0,235.0,112.0
29,7.8113,Cell type 1_20,385,394.802,123.757,153.195,395.0,124.0,161.0
29,8.4881,Cell type 1_210,321,390.552,368.895,68.5244,391.0,369.0,77.0
29,9.8787,Cell type 1_4,513,272.513,359.741,151.262,274.0,359.0,161.0
30,2.9064,Cell type 1_1,3,137.426,229.554,116.612,138.0,228.0,119.0
30,3.7127,Cell type 1_311,642,416.237,229.066,74.0822,415.0,231.0,77.0
30,4.3548,Cell type 1_310,671,484.593,195.74,81.3292,482.0,198.0,84.0
30,6.291,Cell type 1_210,321,366.297,369.323,70.7568,367.0,369.0,77.0
30,7.7967,Cell type 1_20,385,400.461,135.551,151.413,405.0,131.0,147.0
30,8.2368,Cell type 1_30,702,560.917,271.854,103.808,561.0,271.0,112.0
30,11.3936,Cell type 1_211,258,263.804,257.684,68.7618,258.0,263.0,77.0
30,12.3278,Cell type 1_4,513,278.298,351.571,156.255,282.0,351.0,168.0
31,1.9306,Cell type 1_310,671,492.95,200.848,82.7763,492.0,202.0,84.0
31,2.4598,Cell type 1_311,642,412.173,233.564,67.7248,413.0,234.0,70.0
31,3.7001,Cell type 1_1,3,146.878,227.812,111.975,145.0,231.0,112.0
31,5.2595,Cell type 1_210,321,357.316,370.245,79.052,357.0,372.0,84.0
31,7.3665,Cell type 1_20,385,408.471,135.538,148.98,413.0,141.0,147.0
31,7.7098,Cell type 1_4,513,286.331,345.812,161.853,289.0,342.0,168.0
31,10.2503,Cell type 1_30,702,558.943,279.152,101.751,559.0,279.0,112.0
31,11.6559,Cell type 1_211,258,256.162,269.755,65.3768,257.0,270.0,77.0
32,2.4947,Cell type 1_311,642,409.353,231.823,67.5368,409.0,232.0,70.0
32,3.559,Cell type 1_30,702,560.433,284.54,112.16,563.0,287.0,112.0
32,4.0149,Cell type 1_211,258,259.483,268.267,68.198,258.0,265.0,70.0
32,5.4216,Cell type 1_310,671,512.002,202.265,79.2697,510.0,204.0,84.0
32,5.9526,Cell type 1_20,385,420.261,137.844,151.913,415.0,136.0,154.0
32,8.612,Cell type 1_1,3,145.152,227.317,111.301,144.0,231.0,119.0
32,10.0235,Cell type 1_210,321,354.16,375.738,74.005,354.0,375.0,84.0
32,11.7371,Cell type 1_4,513,297.352,342.679,156.653,296.0,340.0,168.0
33,1.6089,Cell type 1_311,642,412.721,238.134,62.5497,414.0,239.0,63.0
33,1.7094,Cell type 1_310,671,515.548,195.441,77.536,516.0,197.0,77.0
33,6.0084,Cell type 1_20,385,414.284,141.852,143.697,413.0,137.0,147.0
33,7.5329,Cell type 1_211,258,251.942,265.923,69.5447,252.0,267.0,77.0
33,7.8872,Cell type 1_30,702,556.505,295.241,112.672,556.0,297.0,105.0
33,9.9328,Cell type 1_210,321,346.128,377.742,74.1594,345.0,377.0,84.0
33,13.424,Cell type 1_1,3,145.233,220.567,114.26,150.0,225.0,126.0
33,13.8412,Cell type 1_4,513,302.497,345.742,154.63,306.0,345.0,168.0
34,2.4978,Cell type 1_20,385,425.133,149.064,130.688,425.0,150.0,133.0
34,2.8053,Cell type 1_1,3,151.853,227.796,116.206,152.0,228.0,119.0
34,3.2601,Cell type 1_210,321,331.949,376.122,85.8174,330.0,378.0,84.0
34,6.1173,Cell type 1_4,513,304.267,346.3,156.163,308.0,346.0,161.0
34,6.9358,Cell type 1_30,702,559.989,313.045,98.1384,561.0,313.0,105.0
34,9.9118,Cell type 1_310,671,523.384,194.403,74.2291,525.0,194.0,84.0
34,10.7248,Cell type 1_311,642,414.047,237.003,59.4545,416.0,237.0,70.0
34,13.538,Cell type 1_211,258,243.943,269.222,75.4944,256.0,272.0,70.0
35,0.9078,Cell type 1_2100,353,381.47,364.255,77.2196,381.0,365.0,77.0
35,3.1684,Cell type 1_211,259,227.365,276.805,67.5633,229.0,278.0,70.0
35,3.8616,Cell type 1_4,513,290.628,349.155,157.193,290.0,349.0,161.0
35,3.9759,Cell type 1_20,417,456.636,134.677,129.946,457.0,135.0,126.0
35,4.2821,Cell type 1_2101,322,318.04,383.437,86.8498,319.0,383.0,91.0
35,7.6394,Cell type 1_311,642,425.719,245.751,62.7133,428.0,246.0,70.0
35,8.8608,Cell type 1_310,671,525.884,198.15,75.1808,526.0,199.0,84.0
36,2.7776,Cell type 1_300,718,549.146,357.224,123.337,549.0,358.0,126.0
36,3.8756,Cell type 1_4,513,284.645,349.239,150.903,284.0,347.0,154.0
36,3.9341,Cell type 1_301,703,566.972,285.913,115.809,569.0,287.0,119.0
36,5.622,Cell type 1_2101,322,323.095,382.576,78.742,325.0,382.0,84.0
36,6.2698,Cell type 1_2100,353,400.62,370.849,77.7435,401.0,371.0,84.0
36,6.3409,Cell type 1_20,417,467.135,134.571,119.733,468.0,135.0,126.0
36,7.1221,Cell type 1_11,4,129.066,231.233,133.0,128.0,232.0,126.0
36,7.5803,Cell type 1_10,35,170.476,207.629,83.5632,171.0,209.0,91.0
36,9.7855,Cell type 1_211,259,232.165,284.165,66.7794,238.0,277.0,70.0
36,10.161,Cell type 1_310,671,525.893,214.294,73.9242,527.0,215.0,84.0
36,11.3113,Cell type 1_311,642,443.336,259.669,65.7131,444.0,260.0,77.0
37,3.9744,Cell type 1_20,417,470.407,138.95,115.213,471.0,140.0,119.0
37,4.0382,Cell type 1_2101,322,322.917,381.268,80.1792,324.0,382.0,84.0
37,4.0759,Cell type 1_310,671,533.672,221.548,73.1731,535.0,222.0,77.0
37,5.7079,Cell type 1_311,642,438.507,260.477,64.3335,439.0,260.0,70.0
37,6.9512,Cell type 1_11,4,135.836,234.055,122.939,131.0,238.0,126.0
37,7.1656,Cell type 1_301,703,577.408,294.731,111.864,578.0,295.0,119.0
37,7.9453,Cell type 1_2100,353,398.341,365.868,76.0832,399.0,366.0,84.0
37,8.0913,Cell type 1_10,35,169.414,210.46,82.948,170.0,211.0,91.0
37,8.1531,Cell type 1_300,718,547.247,357.297,139.312,547.0,360.0,147.0
37,9.5496,Cell type 1_4,513,277.201,341.411,147.32,284.0,342.0,154.0
37,10.3088,Cell type 1_211,259,232.25,277.605,66.7261,233.0,278.0,77.0
38,1.1903,Cell type 1_20,417,479.678,142.672,110.902,480.0,143.0,112.0
38,1.415,Cell type 1_310,671,535.48,225.828,75.6953,536.0,226.0,77.0
38,2.5445,Cell type 1_311,642,434.756,252.538,67.5097,435.0,253.0,70.0
38,4.3876,Cell type 1_10,35,171.774,208.428,79.6557,172.0,209.0,84.0
38,4.7361,Cell type 1_2101,322,320.876,388.684,79.2761,321.0,389.0,84.0
38,5.3871,Cell type 1_301,703,584.824,304.567,121.826,586.0,309.0,119.0
38,5.6902,Cell type 1_211,259,218.992,279.442,64.327,219.0,279.0,70.0
38,7.0568,Cell type 1_11,4,124.358,237.148,125.974,125.0,237.0,133.0
38,7.5288,Cell type 1_4,513,282.121,340.678,146.741,284.0,340.0,154.0
38,9.6854,Cell type 1_2100,353,403.539,370.796,74.3318,403.0,371.0,84.0
38,9.7564,Cell type 1_300,718,541.061,362.1,144.306,541.0,361.0,154.0
39,2.0092,Cell type 1_301,703,585.917,314.118,128.004,586.0,314.0,126.0
39,2.4072,Cell type 1_211,259,211.156,281.276,60.865,212.0,282.0,63.0
39,3.4272,Cell type 1_311,642,429.398,251.798,67.7768,428.0,254.0,70.0
39,5.2505,Cell type 1_300,718,532.981,366.043,148.939,534.0,367.0,154.0
39,5.793,Cell type 1_20,417,496.619,150.87,113.221,497.0,151.0,119.0
39,6.8526,Cell type 1_10,35,167.722,200.134,77.208,168.0,201.0,84.0
39,7.4823,Cell type 1_4,513,284.41,342.282,146.694,286.0,342.0,154.0
39,8.4351,Cell type 1_2101,322,308.698,389.135,75.5714,309.0,389.0,84.0
39,8.4465,Cell type 1_11,4,122.631,249.877,131.578,122.0,250.0,140.0
39,9.0215,Cell type 1_2100,353,406.443,376.912,80.584,411.0,370.0,77.0
39,10.83,Cell type 1_310,671,539.453,233.327,83.8936,534.0,227.0,77.0
40,1.4147,Cell type 1_211,259,204.699,272.997,61.6177,205.0,273.0,63.0
40,2.0536,Cell type 1_310,671,536.32,234.296,77.8917,535.0,233.0,77.0
40,2.7342,Cell type 1_300,718,528.959,369.47,151.318,529.0,370.0,154.0
40,3.4524,Cell type 1_311,642,432.374,255.541,66.8935,432.0,257.0,70.0
40,4.2884,Cell type 1_4,513,280.789,337.98,143.394,282.0,336.0,147.0
40,6.4038,Cell type 1_21001,610,398.461,388.729,133.771,397.0,389.0,140.0
40,7.5128,Cell type 1_10,35,162.207,189.514,76.8572,164.0,191.0,84.0
40,8.1572,Cell type 1_11,4,123.433,253.459,139.013,125.0,254.0,147.0
40,8.4144,Cell type 1_21000,353,419.708,368.864,68.5918,420.0,369.0,77.0
40,8.6025,Cell type 1_301,703,589.731,306.068,117.402,590.0,306.0,126.0
40,9.5455,Cell type 1_2101,322,305.12,390.963,74.4553,305.0,391.0,84.0
40,9.6668,Cell type 1_20,417,501.651,142.091,109.471,503.0,143.0,119.0
41,5.1005,Cell type 1_311,642,430.87,253.904,66.3415,428.0,256.0,70.0
41,6.6513,Cell type 1_211,259,202.51,271.074,70.3672,203.0,271.0,77.0
41,6.9879,Cell type 1_11,4,127.783,250.62,140.043,128.0,250.0,147.0
41,8.2044,Cell type 1_301,703,585.589,305.498,117.821,586.0,305.0,126.0
41,8.4111,Cell type 1_21001,610,398.714,379.609,138.697,400.0,380.0,147.0
41,9.345,Cell type 1_10,35,162.897,192.449,74.7367,164.0,193.0,84.0
41,10.4206,Cell type 1_310,671,542.489,232.26,89.9982,534.0,233.0,84.0
41,10.4343,Cell type 1_20,417,500.063,141.007,108.62,499.0,141.0,119.0
41,10.496,Cell type 1_4,513,273.645,333.362,148.067,283.0,338.0,147.0
41,10.6714,Cell type 1_2101,322,305.14,388.78,73.3318,305.0,389.0,84.0
41,11.033,Cell type 1_300,718,529.042,367.391,149.974,529.0,367.0,161.0
41,12.3798,Cell type 1_21000,353,424.099,370.145,64.6502,424.0,371.0,77.0
42,2.1199,Cell type 1_21001,610,396.314,375.893,137.997,397.0,376.0,140.0
42,3.5905,Cell type 1_300,718,531.46,370.967,143.904,533.0,370.0,147.0
42,4.4994,Cell type 1_310,671,525.515,230.365,85.6572,528.0,227.0,84.0
42,8.4981,Cell type 1_2101,322,306.219,381.351,80.3037,306.0,389.0,84.0
42,9.3736,Cell type 1_10,35,161.879,191.299,74.6534,162.0,192.0,84.0
42,10.3306,Cell type 1_311,642,428.471,253.849,66.7843,430.0,254.0,77.0
42,10.9706,Cell type 1_4,513,261.943,345.339,151.37,272.0,345.0,147.0
42,10.9949,Cell type 1_11,4,129.471,246.741,136.115,131.0,247.0,147.0
42,11.8758,Cell type 1_301,703,585.034,295.677,114.168,586.0,296.0,126.0
42,11.9057,Cell type 1_211,259,201.219,268.448,65.1328,202.0,269.0,77.0
42,12.641,Cell type 1_21000,353,426.142,369.106,64.3886,427.0,369.0,77.0
42,13.8496,Cell type 1_20,417,496.056,136.548,112.19,497.0,137.0,126.0
43,1.8152,Cell type 1_300,718,527.989,372.639,145.301,528.0,372.0,147.0
43,5.7918,Cell type 1_301,703,586.427,291.188,127.227,586.0,291.0,133.0
43,5.9775,Cell type 1_310,671,540.155,229.207,87.6873,536.0,227.0,84.0
43,7.1711,Cell type 1_4,513,266.79,334.476,147.098,268.0,336.0,154.0
43,7.7628,Cell type 1_211,259,202.844,260.304,62.5488,205.0,260.0,70.0
43,9.1877,Cell type 1_21000,353,424.06,376.805,67.8626,425.0,377.0,77.0
43,9.9681,Cell type 1_21001,610,402.008,370.418,134.579,394.0,368.0,140.0
43,10.114,Cell type 1_311,642,430.238,254.746,67.5041,429.0,258.0,77.0
43,11.5033,Cell type 1_11,4,131.339,244.713,135.588,132.0,246.0,147.0
43,11.9267,Cell type 1_20,417,495.684,132.373,107.189,496.0,134.0,119.0
43,12.1621,Cell type 1_2101,322,310.054,389.516,71.849,310.0,389.0,84.0
43,12.6252,Cell type 1_10,35,157.128,193.429,78.3884,157.0,194.0,91.0
44,5.257,Cell type 1_21001,610,386.394,365.588,134.774,386.0,366.0,140.0
44,7.4028,Cell type 1_11,4,131.38,244.115,132.831,133.0,245.0,140.0
44,7.4783,Cell type 1_20,417,499.606,134.347,111.575,499.0,135.0,119.0
44,7.9883,Cell type 1_300,718,529.366,369.845,146.065,529.0,369.0,154.0
44,8.5115,Cell type 1_310,671,538.853,228.119,82.6935,537.0,228.0,91.0
44,8.5402,Cell type 1_211,259,206.114,258.572,61.6541,205.0,260.0,70.0
44,9.2237,Cell type 1_311,642,427.01,255.279,67.9947,426.0,257.0,77.0
44,9.456,Cell type 1_10,35,161.068,189.726,81.5482,161.0,190.0,91.0
44,9.7872,Cell type 1_301,703,590.18,292.775,116.217,590.0,293.0,126.0
44,10.626,Cell type 1_21000,353,429.607,375.762,66.3839,430.0,376.0,77.0
44,11.0613,Cell type 1_4,513,257.044,334.611,142.995,256.0,335.0,154.0
44,13.5365,Cell type 1_2101,322,310.054,389.516,71.849,316.0,390.0,84.0
45,2.2048,Cell type 1_211,259,206.866,267.286,60.8179,207.0,267.0,63.0
45,2.5108,Cell type 1_301,703,586.582,303.489,121.427,587.0,303.0,119.0
