frame,gt_label,gt_x,gt_y,gt_z,nearest_pred_dist,nearest_pred_name,nearest_pred_x,nearest_pred_y,nearest_pred_z
19,609,476.0,368.0,126.0,99.8512,Cell type 1_30,566.647,326.129,126.455
20,66,176.0,299.0,147.0,69.681,Cell type 1_1,142.696,253.664,105.879
20,130,279.0,151.0,140.0,159.8911,Cell type 1_20,438.016,158.361,154.996
20,193,330.0,153.0,91.0,125.665,Cell type 1_20,438.016,158.361,154.996
20,448,473.0,233.0,154.0,82.437,Cell type 1_20,438.016,158.361,154.996
20,609,475.0,372.0,126.0,113.3799,Cell type 1_30,574.234,318.08,115.988
21,66,192.0,310.0,140.0,84.405,Cell type 1_1,149.74,242.314,112.488
21,130,266.0,160.0,147.0,146.571,Cell type 1_1,149.74,242.314,112.488
21,193,323.0,154.0,98.0,117.8478,Cell type 1_20,427.808,154.061,151.883
21,448,478.0,231.0,154.0,86.0368,Cell type 1_31,500.357,201.705,76.2549
21,609,478.0,358.0,126.0,115.9287,Cell type 1_30,576.501,298.195,113.336
22,66,203.0,333.0,147.0,104.1064,Cell type 1_211,259.182,301.326,65.278
22,130,251.0,169.0,154.0,130.101,Cell type 1_1,144.236,231.059,113.056
22,193,336.0,154.0,91.0,97.6128,Cell type 1_20,410.067,144.45,153.858
22,448,478.0,237.0,154.0,94.5108,Cell type 1_31,502.231,197.475,71.6415
22,609,489.0,357.0,126.0,114.623,Cell type 1_30,577.754,284.784,119.217
23,66,203.0,344.0,140.0,109.7991,Cell type 1_211,247.436,284.236,59.3182
23,130,238.0,181.0,161.0,125.6892,Cell type 1_1,134.759,235.468,114.392
23,193,333.0,154.0,84.0,95.7256,Cell type 1_20,394.34,134.13,154.753
23,448,482.0,243.0,161.0,86.9598,Cell type 1_31,494.327,205.014,83.7529
23,609,485.0,344.0,133.0,118.7022,Cell type 1_30,577.214,270.242,120.894
24,66,192.0,361.0,126.0,121.2767,Cell type 1_4,308.197,331.235,143.898
24,130,242.0,191.0,168.0,125.3306,Cell type 1_211,244.936,257.729,61.951
24,193,331.0,153.0,84.0,94.3775,Cell type 1_20,385.362,130.739,157.867
24,448,503.0,242.0,161.0,89.4993,Cell type 1_31,486.997,206.383,80.4677
24,564,362.0,303.0,147.0,60.8408,Cell type 1_4,308.197,331.235,143.898
24,609,483.0,354.0,126.0,124.22,Cell type 1_210,374.292,355.37,65.9059
25,66,184.0,352.0,112.0,118.2436,Cell type 1_4,298.467,335.376,136.546
25,130,237.0,195.0,168.0,118.9417,Cell type 1_211,250.309,247.567,62.1382
25,193,334.0,147.0,91.0,83.7778,Cell type 1_20,382.539,130.583,157.281
25,448,510.0,248.0,168.0,80.8059,Cell type 1_30,574.215,262.269,121.07
25,564,365.0,296.0,140.0,77.3889,Cell type 1_4,298.467,335.376,136.546
25,610,454.0,374.0,126.0,101.0222,Cell type 1_210,377.499,351.858,63.8484
25,625,503.0,354.0,119.0,116.1483,Cell type 1_30,574.215,262.269,121.07
26,66,186.0,358.0,112.0,119.3405,Cell type 1_4,299.72,344.071,145.405
26,130,226.0,191.0,168.0,119.2545,Cell type 1_1,130.959,234.984,110.954
26,193,336.0,151.0,84.0,90.4516,Cell type 1_20,384.367,126.283,156.327
26,448,513.0,241.0,168.0,84.8694,Cell type 1_30,575.653,256.991,113.03
26,564,369.0,289.0,147.0,88.516,Cell type 1_4,299.72,344.071,145.405
26,610,445.0,379.0,133.0,93.7575,Cell type 1_210,390.875,348.558,62.7559
26,625,510.0,349.0,119.0,113.1884,Cell type 1_30,575.653,256.991,113.03
27,66,191.0,361.0,112.0,101.8624,Cell type 1_4,284.854,350.964,150.297
27,130,221.0,190.0,168.0,115.4224,Cell type 1_1,133.823,235.965,107.919
27,193,331.0,151.0,84.0,89.0016,Cell type 1_20,381.352,124.16,152.305
27,448,512.0,230.0,168.0,87.3378,Cell type 1_30,574.638,257.507,113.707
27,564,379.0,282.0,147.0,101.545,Cell type 1_210,395.596,348.421,72.0053
27,610,444.0,385.0,133.0,86.0309,Cell type 1_210,395.596,348.421,72.0053
27,625,514.0,341.0,126.0,103.919,Cell type 1_30,574.638,257.507,113.707
28,66,194.0,364.0,105.0,90.9837,Cell type 1_4,272.121,355.59,150.874
28,130,220.0,198.0,175.0,119.1401,Cell type 1_1,131.57,238.454,106.167
28,193,325.0,151.0,84.0,86.1162,Cell type 1_20,378.442,131.782,148.735
28,448,515.0,221.0,175.0,92.4292,Cell type 1_30,570.056,255.395,109.205
28,564,398.0,273.0,154.0,120.9173,Cell type 1_31,473.998,216.64,78.7083
28,610,440.0,396.0,147.0,99.7761,Cell type 1_210,397.281,357.602,65.416
28,625,522.0,331.0,119.0,90.119,Cell type 1_30,570.056,255.395,109.205
29,66,193.0,365.0,105.0,92.142,Cell type 1_4,272.513,359.741,151.262
29,130,221.0,197.0,168.0,114.7057,Cell type 1_1,132.943,234.02,104.495
29,193,325.0,148.0,84.0,101.2324,Cell type 1_20,394.802,123.757,153.195
29,448,517.0,223.0,175.0,87.941,Cell type 1_30,563.714,265.468,113.78
29,564,407.0,274.0,154.0,96.1935,Cell type 1_311,431.773,228.925,72.712
29,610,432.0,401.0,147.0,94.3774,Cell type 1_210,390.552,368.895,68.5244
29,625,523.0,334.0,112.0,79.7335,Cell type 1_30,563.714,265.468,113.78
30,66,189.0,356.0,112.0,99.761,Cell type 1_4,278.298,351.571,156.255
30,130,237.0,192.0,161.0,115.3065,Cell type 1_1,137.426,229.554,116.612
30,193,327.0,151.0,91.0,96.3583,Cell type 1_20,400.461,135.551,151.413
30,448,512.0,232.0,168.0,90.0101,Cell type 1_30,560.917,271.854,103.808
30,564,413.0,286.0,161.0,103.9551,Cell type 1_311,416.237,229.066,74.0822
30,610,432.0,405.0,140.0,101.9036,Cell type 1_210,366.297,369.323,70.7568
30,625,516.0,339.0,105.0,80.7932,Cell type 1_30,560.917,271.854,103.808
31,66,203.0,351.0,126.0,90.8648,Cell type 1_4,286.331,345.812,161.853
31,130,241.0,190.0,161.0,112.6594,Cell type 1_1,146.878,227.812,111.975
31,193,319.0,151.0,91.0,107.7303,Cell type 1_20,408.471,135.538,148.98
31,448,514.0,229.0,168.0,92.1885,Cell type 1_310,492.95,200.848,82.7763
31,564,407.0,280.0,161.0,104.3232,Cell type 1_311,412.173,233.564,67.7248
31,610,437.0,405.0,154.0,114.7809,Cell type 1_210,357.316,370.245,79.052
31,625,512.0,344.0,105.0,80.1216,Cell type 1_30,558.943,279.152,101.751
32,66,195.0,354.0,133.0,105.6578,Cell type 1_4,297.352,342.679,156.653
32,130,252.0,190.0,161.0,121.6303,Cell type 1_211,259.483,268.267,68.198
32,193,316.0,152.0,91.0,121.5777,Cell type 1_20,420.261,137.844,151.913
32,448,511.0,235.0,161.0,85.3415,Cell type 1_30,560.433,284.54,112.16
32,564,409.0,284.0,168.0,113.2052,Cell type 1_311,409.353,231.823,67.5368
32,610,446.0,402.0,147.0,120.2188,Cell type 1_210,354.16,375.738,74.005
32,625,507.0,347.0,112.0,82.1971,Cell type 1_30,560.433,284.54,112.16
33,66,198.0,346.0,140.0,105.5165,Cell type 1_4,302.497,345.742,154.63
33,130,250.0,189.0,161.0,118.9841,Cell type 1_1,145.233,220.567,114.26
33,193,309.0,144.0,91.0,117.7553,Cell type 1_20,414.284,141.852,143.697
33,448,509.0,228.0,168.0,96.3675,Cell type 1_310,515.548,195.441,77.536
33,564,403.0,280.0,161.0,107.4231,Cell type 1_311,412.721,238.134,62.5497
33,610,448.0,397.0,154.0,130.856,Cell type 1_210,346.128,377.742,74.1594
33,625,506.0,357.0,112.0,79.7833,Cell type 1_30,556.505,295.241,112.672
34,66,199.0,339.0,133.0,100.9739,Cell type 1_211,243.943,269.222,75.4944
34,130,262.0,184.0,168.0,127.0674,Cell type 1_211,243.943,269.222,75.4944
34,193,320.0,162.0,91.0,113.1169,Cell type 1_20,425.133,149.064,130.688
34,448,510.0,237.0,161.0,97.585,Cell type 1_310,523.384,194.403,74.2291
34,564,397.0,275.0,154.0,103.3113,Cell type 1_311,414.047,237.003,59.4545
34,610,447.0,396.0,147.0,131.8149,Cell type 1_210,331.949,376.122,85.8174
34,625,497.0,354.0,112.0,76.4007,Cell type 1_30,559.989,313.045,98.1384
35,4,130.0,233.0,133.0,39.03,Cell type 1_1,153.218,216.52,106.304
35,35,163.0,209.0,91.0,19.6583,Cell type 1_1,153.218,216.52,106.304
35,67,184.0,337.0,140.0,103.6872,Cell type 1_211,227.365,276.805,67.5633
35,98,226.0,362.0,105.0,84.0588,Cell type 1_4,290.628,349.155,157.193
35,131,224.0,198.0,154.0,87.3384,Cell type 1_1,153.218,216.52,106.304
35,162,286.0,169.0,161.0,151.2642,Cell type 1_1,153.218,216.52,106.304
35,194,283.0,150.0,84.0,139.4451,Cell type 1_211,227.365,276.805,67.5633
35,225,354.0,152.0,77.0,116.7798,Cell type 1_20,456.636,134.677,129.946
35,290,303.0,271.0,63.0,75.9946,Cell type 1_211,227.365,276.805,67.5633
35,386,390.0,131.0,147.0,68.8819,Cell type 1_20,456.636,134.677,129.946
35,449,488.0,231.0,189.0,117.257,Cell type 1_20,456.636,134.677,129.946
35,480,524.0,242.0,154.0,90.2155,Cell type 1_310,525.884,198.15,75.1808
35,564,381.0,272.0,154.0,104.986,Cell type 1_311,425.719,245.751,62.7133
35,610,436.0,392.0,154.0,98.176,Cell type 1_2100,381.47,364.255,77.2196
35,625,489.0,360.0,112.0,86.4411,Cell type 1_30,561.853,313.626,108.264
35,703,566.0,288.0,112.0,26.2268,Cell type 1_30,561.853,313.626,108.264
35,718,561.0,334.0,105.0,20.6514,Cell type 1_30,561.853,313.626,108.264
36,67,177.0,344.0,140.0,108.3225,Cell type 1_4,284.645,349.239,150.903
36,98,233.0,367.0,98.0,76.0354,Cell type 1_4,284.645,349.239,150.903
36,131,225.0,204.0,161.0,94.776,Cell type 1_10,170.476,207.629,83.5632
36,162,279.0,164.0,161.0,140.2762,Cell type 1_10,170.476,207.629,83.5632
36,194,283.0,151.0,84.0,125.971,Cell type 1_10,170.476,207.629,83.5632
36,225,364.0,153.0,77.0,113.1484,Cell type 1_20,467.135,134.571,119.733
36,290,318.0,266.0,63.0,87.8174,Cell type 1_211,232.165,284.165,66.7794
36,386,393.0,119.0,140.0,78.4169,Cell type 1_20,467.135,134.571,119.733
36,449,467.0,216.0,196.0,111.5677,Cell type 1_20,467.135,134.571,119.733
36,480,524.0,242.0,154.0,72.3429,Cell type 1_301,566.972,285.913,115.809
36,564,364.0,273.0,161.0,110.5059,Cell type 1_4,284.645,349.239,150.903
36,610,421.0,387.0,168.0,93.9278,Cell type 1_2100,400.62,370.849,77.7435
36,625,482.0,359.0,126.0,67.2223,Cell type 1_300,549.146,357.224,123.337
37,67,184.0,341.0,147.0,93.2025,Cell type 1_4,277.201,341.411,147.32
37,98,224.0,371.0,105.0,74.1407,Cell type 1_4,277.201,341.411,147.32
37,131,225.0,199.0,161.0,96.5052,Cell type 1_10,169.414,210.46,82.948
37,162,284.0,167.0,161.0,145.2957,Cell type 1_10,169.414,210.46,82.948
37,194,279.0,148.0,98.0,127.0311,Cell type 1_10,169.414,210.46,82.948
37,225,366.0,161.0,77.0,113.3457,Cell type 1_20,470.407,138.95,115.213
37,290,314.0,267.0,70.0,82.5,Cell type 1_211,232.25,277.605,66.7261
37,386,404.0,104.0,140.0,79.0303,Cell type 1_20,470.407,138.95,115.213
37,449,460.0,210.0,175.0,93.4393,Cell type 1_20,470.407,138.95,115.213
37,480,528.0,245.0,161.0,85.6076,Cell type 1_301,577.408,294.731,111.864
37,564,371.0,248.0,147.0,107.4552,Cell type 1_311,438.507,260.477,64.3335
37,610,404.0,376.0,154.0,78.7763,Cell type 1_2100,398.341,365.868,76.0832
37,625,487.0,361.0,112.0,66.2522,Cell type 1_300,547.247,357.297,139.312
38,67,183.0,339.0,161.0,100.1554,Cell type 1_4,282.121,340.678,146.741
38,98,222.0,379.0,105.0,82.6161,Cell type 1_4,282.121,340.678,146.741
38,131,224.0,193.0,168.0,103.78,Cell type 1_10,171.774,208.428,79.6557
38,162,288.0,160.0,161.0,149.9021,Cell type 1_10,171.774,208.428,79.6557
38,194,271.0,140.0,91.0,121.0656,Cell type 1_10,171.774,208.428,79.6557
38,225,381.0,166.0,77.0,102.3162,Cell type 1_311,434.756,252.538,67.5097
38,290,322.0,270.0,70.0,103.5953,Cell type 1_211,218.992,279.442,64.327
38,386,403.0,98.0,140.0,93.3906,Cell type 1_20,479.678,142.672,110.902
38,449,470.0,205.0,175.0,89.9277,Cell type 1_20,479.678,142.672,110.902
38,480,531.0,250.0,154.0,82.073,Cell type 1_310,535.48,225.828,75.6953
38,564,376.0,247.0,154.0,104.7068,Cell type 1_311,434.756,252.538,67.5097
38,610,404.0,377.0,147.0,72.934,Cell type 1_2100,403.539,370.796,74.3318
38,625,484.0,356.0,119.0,62.7181,Cell type 1_300,541.061,362.1,144.306
39,67,181.0,340.0,161.0,104.4198,Cell type 1_4,284.41,342.282,146.694
39,98,227.0,387.0,91.0,83.1695,Cell type 1_2101,308.698,389.135,75.5714
39,131,215.0,202.0,168.0,102.381,Cell type 1_10,167.722,200.134,77.208
39,162,289.0,150.0,161.0,155.7012,Cell type 1_10,167.722,200.134,77.208
39,194,255.0,149.0,91.0,102.0899,Cell type 1_10,167.722,200.134,77.208
39,225,394.0,163.0,77.0,96.0373,Cell type 1_311,429.398,251.798,67.7768
39,290,329.0,267.0,70.0,101.5667,Cell type 1_311,429.398,251.798,67.7768
39,386,397.0,102.0,147.0,115.9881,Cell type 1_20,496.619,150.87,113.221
39,449,463.0,200.0,182.0,90.9645,Cell type 1_20,496.619,150.87,113.221
39,480,537.0,254.0,161.0,79.8673,Cell type 1_310,539.453,233.327,83.8936
39,564,369.0,246.0,161.0,111.2299,Cell type 1_311,429.398,251.798,67.7768
39,610,400.0,378.0,140.0,59.7742,Cell type 1_2100,406.443,376.912,80.584
39,625,480.0,355.0,119.0,61.8488,Cell type 1_300,532.981,366.043,148.939
40,67,177.0,337.0,168.0,103.3865,Cell type 1_11,123.433,253.459,139.013
40,98,215.0,386.0,91.0,91.7604,Cell type 1_2101,305.12,390.963,74.4553
40,131,213.0,201.0,168.0,104.9708,Cell type 1_10,162.207,189.514,76.8572
40,162,294.0,147.0,161.0,162.0396,Cell type 1_10,162.207,189.514,76.8572
40,194,249.0,154.0,91.0,94.8382,Cell type 1_10,162.207,189.514,76.8572
40,225,395.0,160.0,70.0,102.638,Cell type 1_311,432.374,255.541,66.8935
40,290,327.0,272.0,70.0,106.6969,Cell type 1_311,432.374,255.541,66.8935
40,386,384.0,109.0,154.0,130.0754,Cell type 1_20,501.651,142.091,109.471
40,449,461.0,185.0,175.0,88.2481,Cell type 1_20,501.651,142.091,109.471
40,480,546.0,248.0,168.0,88.5689,Cell type 1_301,589.731,306.068,117.402
40,564,375.0,249.0,161.0,110.411,Cell type 1_311,432.374,255.541,66.8935
40,625,477.0,341.0,119.0,67.4888,Cell type 1_300,528.959,369.47,151.318
41,67,171.0,336.0,154.0,96.707,Cell type 1_11,127.783,250.62,140.043
41,98,217.0,385.0,98.0,91.5524,Cell type 1_4,273.645,333.362,148.067
41,131,211.0,199.0,161.0,98.9857,Cell type 1_10,162.897,192.449,74.7367
41,162,292.0,152.0,161.0,160.4527,Cell type 1_10,162.897,192.449,74.7367
41,194,249.0,150.0,98.0,98.7766,Cell type 1_10,162.897,192.449,74.7367
41,225,389.0,156.0,77.0,107.0135,Cell type 1_311,430.87,253.904,66.3415
41,290,321.0,274.0,70.0,108.9073,Cell type 1_4,273.645,333.362,148.067
41,386,382.0,110.0,147.0,127.9583,Cell type 1_20,500.063,141.007,108.62
41,449,468.0,178.0,175.0,82.4792,Cell type 1_20,500.063,141.007,108.62
41,480,554.0,239.0,168.0,79.1341,Cell type 1_310,542.489,232.26,89.9982
41,564,375.0,252.0,161.0,109.9332,Cell type 1_311,430.87,253.904,66.3415
41,625,474.0,340.0,119.0,68.8424,Cell type 1_300,529.042,367.391,149.974
42,67,165.0,330.0,154.0,92.2727,Cell type 1_11,129.471,246.741,136.115
42,98,219.0,386.0,91.0,84.5101,Cell type 1_4,261.943,345.339,151.37
42,131,213.0,194.0,168.0,103.8044,Cell type 1_11,129.471,246.741,136.115
42,162,298.0,145.0,161.0,167.7148,Cell type 1_10,161.879,191.299,74.6534
42,194,252.0,149.0,98.0,102.2549,Cell type 1_10,161.879,191.299,74.6534
42,225,390.0,156.0,84.0,106.5403,Cell type 1_311,428.471,253.849,66.7843
42,290,323.0,273.0,70.0,107.2438,Cell type 1_311,428.471,253.849,66.7843
42,386,386.0,109.0,147.0,118.6716,Cell type 1_20,496.056,136.548,112.19
42,449,464.0,180.0,175.0,82.8297,Cell type 1_20,496.056,136.548,112.19
42,480,554.0,235.0,168.0,86.8487,Cell type 1_301,585.034,295.677,114.168
42,564,375.0,247.0,161.0,108.5479,Cell type 1_311,428.471,253.849,66.7843
42,625,479.0,340.0,119.0,65.812,Cell type 1_300,531.46,370.967,143.904
43,67,161.0,329.0,147.0,90.0794,Cell type 1_11,131.339,244.713,135.588
43,98,222.0,388.0,91.0,89.543,Cell type 1_4,266.79,334.476,147.098
43,131,211.0,193.0,175.0,102.8271,Cell type 1_11,131.339,244.713,135.588
43,162,298.0,146.0,168.0,173.5646,Cell type 1_10,157.128,193.429,78.3884
43,194,251.0,137.0,98.0,111.269,Cell type 1_10,157.128,193.429,78.3884
43,225,391.0,156.0,77.0,106.6797,Cell type 1_311,430.238,254.746,67.5041
43,290,317.0,272.0,70.0,111.2133,Cell type 1_4,266.79,334.476,147.098
43,386,386.0,113.0,140.0,116.114,Cell type 1_20,495.684,132.373,107.189
43,449,465.0,174.0,175.0,85.2798,Cell type 1_20,495.684,132.373,107.189
43,480,555.0,234.0,168.0,76.9452,Cell type 1_301,586.427,291.188,127.227
43,564,366.0,241.0,147.0,103.1265,Cell type 1_311,430.238,254.746,67.5041
43,625,474.0,337.0,126.0,67.5091,Cell type 1_300,527.989,372.639,145.301
44,67,160.0,337.0,140.0,97.1196,Cell type 1_4,257.044,334.611,142.995
44,98,226.0,387.0,91.0,80.0738,Cell type 1_4,257.044,334.611,142.995
44,131,212.0,188.0,168.0,100.3542,Cell type 1_10,161.068,189.726,81.5482
44,162,300.0,143.0,175.0,173.8351,Cell type 1_10,161.068,189.726,81.5482
44,194,251.0,143.0,98.0,102.673,Cell type 1_10,161.068,189.726,81.5482
44,225,392.0,152.0,77.0,109.4228,Cell type 1_311,427.01,255.279,67.9947
44,290,320.0,269.0,70.0,107.9047,Cell type 1_311,427.01,255.279,67.9947
44,386,387.0,115.0,140.0,117.7387,Cell type 1_20,499.606,134.347,111.575
44,449,459.0,178.0,175.0,87.0469,Cell type 1_20,499.606,134.347,111.575
44,480,565.0,233.0,161.0,78.82,Cell type 1_301,590.18,292.775,116.217
44,564,365.0,254.0,147.0,100.4426,Cell type 1_311,427.01,255.279,67.9947
44,625,476.0,338.0,126.0,65.3042,Cell type 1_300,529.366,369.845,146.065
45,67,151.0,329.0,126.0,92.8857,Cell type 1_4,238.246,321.487,156.975
45,98,231.0,387.0,91.0,88.7438,Cell type 1_2101,317.767,383.88,72.6368
45,131,210.0,185.0,168.0,97.1421,Cell type 1_10,171.416,179.836,78.9989
45,162,302.0,148.0,161.0,157.4481,Cell type 1_10,171.416,179.836,78.9989
45,194,260.0,142.0,98.0,98.1821,Cell type 1_10,171.416,179.836,78.9989
45,225,396.0,153.0,77.0,105.4568,Cell type 1_20,493.123,125.517,107.544
45,290,316.0,262.0,70.0,109.6471,Cell type 1_211,206.866,267.286,60.8179
45,386,382.0,115.0,140.0,116.2425,Cell type 1_20,493.123,125.517,107.544
45,449,462.0,171.0,175.0,87.1072,Cell type 1_20,493.123,125.517,107.544
45,480,562.0,236.0,168.0,82.4294,Cell type 1_310,543.985,225.39,88.2661
45,541,291.0,347.0,140.0,61.0086,Cell type 1_4,238.246,321.487,156.975
45,565,334.0,248.0,154.0,120.7395,Cell type 1_4,238.246,321.487,156.975
45,590,403.0,237.0,154.0,89.1199,Cell type 1_311,426.035,258.195,70.5583
45,625,478.0,336.0,133.0,64.0783,Cell type 1_300,530.095,369.291,149.848
46,67,147.0,330.0,126.0,92.4604,Cell type 1_4,233.527,325.578,158.287
46,98,239.0,392.0,91.0,85.7214,Cell type 1_2101,323.3,388.689,75.8111
46,131,204.0,189.0,161.0,86.9133,Cell type 1_10,179.627,181.165,77.9428
46,162,297.0,145.0,161.0,148.2661,Cell type 1_10,179.627,181.165,77.9428
46,194,264.0,149.0,91.0,91.2353,Cell type 1_10,179.627,181.165,77.9428
46,225,393.0,153.0,70.0,105.8358,Cell type 1_20,489.212,126.423,105.187
46,290,324.0,275.0,70.0,94.4098,Cell type 1_311,416.793,260.077,78.9425
46,386,374.0,117.0,140.0,120.7251,Cell type 1_20,489.212,126.423,105.187
46,449,469.0,165.0,175.0,82.2834,Cell type 1_20,489.212,126.423,105.187
46,480,566.0,228.0,161.0,77.7809,Cell type 1_310,533.261,223.265,90.6039
46,541,291.0,357.0,140.0,68.0066,Cell type 1_4,233.527,325.578,158.287
46,565,326.0,247.0,161.0,118.9955,Cell type 1_21001,390.454,345.886,145.928
46,590,409.0,230.0,161.0,87.7427,Cell type 1_311,416.793,260.077,78.9425
46,625,475.0,335.0,133.0,71.9052,Cell type 1_300,536.218,364.977,155.893
47,67,154.0,328.0,119.0,87.8897,Cell type 1_4,228.403,325.542,165.72
47,98,240.0,390.0,98.0,86.4995,Cell type 1_2101,324.28,387.707,78.6664
47,131,203.0,183.0,161.0,79.7586,Cell type 1_10,177.73,186.684,85.4402
47,162,298.0,145.0,168.0,151.7187,Cell type 1_10,177.73,186.684,85.4402
47,194,256.0,156.0,91.0,84.2533,Cell type 1_10,177.73,186.684,85.4402
47,225,388.0,153.0,84.0,101.3348,Cell type 1_20,483.773,126.21,103.457
47,290,318.0,274.0,70.0,90.9297,Cell type 1_311,406.836,260.171,83.6064
47,386,371.0,116.0,133.0,117.0247,Cell type 1_20,483.773,126.21,103.457
47,449,479.0,172.0,168.0,79.2799,Cell type 1_20,483.773,126.21,103.457
47,480,570.0,224.0,161.0,87.0838,Cell type 1_310,525.503,222.155,86.1655
47,541,290.0,365.0,147.0,75.5087,Cell type 1_4,228.403,325.542,165.72
47,565,322.0,243.0,161.0,116.111,Cell type 1_311,406.836,260.171,83.6064
47,590,410.0,233.0,168.0,88.7161,Cell type 1_311,406.836,260.171,83.6064
47,625,477.0,327.0,140.0,72.1603,Cell type 1_300,539.731,361.385,149.466
48,67,155.0,330.0,133.0,80.7693,Cell type 1_4,223.598,316.374,173.402
48,98,244.0,391.0,105.0,81.9242,Cell type 1_2101,321.496,390.74,78.4318
48,131,202.0,186.0,168.0,96.2973,Cell type 1_10,178.871,196.715,75.1377
48,162,294.0,142.0,154.0,149.8922,Cell type 1_10,178.871,196.715,75.1377
48,194,263.0,153.0,91.0,96.1265,Cell type 1_10,178.871,196.715,75.1377
48,225,393.0,152.0,77.0,102.207,Cell type 1_20,484.689,127.784,115.118
48,290,313.0,272.0,63.0,96.9527,Cell type 1_311,408.163,262.298,78.802
48,386,373.0,120.0,133.0,113.379,Cell type 1_20,484.689,127.784,115.118
48,449,487.0,174.0,168.0,70.2692,Cell type 1_20,484.689,127.784,115.118
48,480,567.0,227.0,161.0,84.5165,Cell type 1_310,527.396,223.63,86.4131
48,541,276.0,373.0,147.0,81.5447,Cell type 1_4,223.598,316.374,173.402
48,565,322.0,239.0,161.0,121.3399,Cell type 1_311,408.163,262.298,78.802
48,590,423.0,227.0,168.0,97.0689,Cell type 1_311,408.163,262.298,78.802
48,625,476.0,324.0,140.0,73.41,Cell type 1_300,540.063,358.937,148.023
49,67,154.0,330.0,133.0,79.0775,Cell type 1_4,221.361,315.01,171.614
49,98,238.0,395.0,105.0,90.6495,Cell type 1_2101,324.722,390.933,78.9217
49,131,205.0,189.0,161.0,91.7513,Cell type 1_10,180.132,197.875,73.1301
49,162,294.0,141.0,161.0,154.6668,Cell type 1_10,180.132,197.875,73.1301
49,194,265.0,138.0,91.0,105.3894,Cell type 1_10,180.132,197.875,73.1301
49,225,396.0,151.0,77.0,91.3025,Cell type 1_20,478.199,133.709,112.784
49,290,311.0,274.0,70.0,92.74,Cell type 1_211,220.167,289.625,59.708
49,386,372.0,122.0,140.0,110.2544,Cell type 1_20,478.199,133.709,112.784
49,449,488.0,180.0,168.0,72.7167,Cell type 1_20,478.199,133.709,112.784
49,480,564.0,229.0,154.0,77.4781,Cell type 1_310,525.978,219.18,87.2111
49,541,289.0,385.0,161.0,89.7113,Cell type 1_2101,324.722,390.933,78.9217
